Rank	Score	ORPHA_ID	Disease_Name	Matched_Phenotype	Causative_Gene
1	1.0	ORPHA:3173	infantile spasms-broad thumbs syndrome	HP:0001250	
1	1.0	ORPHA:36367	distal monosomy 1q	HP:0001250	ZBTB18
1	1.0	ORPHA:85179	infantile osteopetrosis with neuroaxonal dysplasia	HP:0001250	OSTM1
1	1.0	ORPHA:2101	Grubben-de Cock-Borghgraef syndrome	HP:0001250	
1	1.0	ORPHA:1946	amelocerebrohypohidrotic syndrome	HP:0001250	SLC13A5,ROGDI
1	1.0	ORPHA:67046	3-methylglutaconic aciduria type 1	HP:0001250	AUH
1	1.0	ORPHA:231160	intracranial berry aneurysm	HP:0001250	THSD1,COL3A1,ANGPTL6,ENG,TGFBR3
1	1.0	ORPHA:79095	congenital bile acid synthesis defect 4	HP:0001250	AMACR
1	1.0	ORPHA:622	homocystinuria without methylmalonic aciduria	HP:0001250	
1	1.0	ORPHA:83472	CAMOS syndrome	HP:0001250	WDR73,ZNF592
1	1.0	ORPHA:3465	Worster-Drought syndrome	HP:0001250	
1	1.0	ORPHA:251639	subependymoma	HP:0001250	
1	1.0	ORPHA:251636	ependymoma	HP:0001250	ZFTA
1	1.0	ORPHA:319213	Lujo hemorrhagic fever	HP:0001250	
1	1.0	ORPHA:74	angiostrongyliasis	HP:0001250	
1	1.0	ORPHA:284	alveolar echinococcosis	HP:0001250	
1	1.0	ORPHA:94066	severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia	HP:0001250	
1	1.0	ORPHA:139474	17q11.2 microduplication syndrome	HP:0001250	NF1
1	1.0	ORPHA:320401	hereditary spastic paraplegia 44	HP:0001250	GJC2
1	1.0	ORPHA:94090	pseudohypoparathyroidism type 2	HP:0002199	
1	1.0	ORPHA:101076	Charcot-Marie-Tooth disease X-linked recessive 2	HP:0001250	
1	1.0	ORPHA:2216	maternal hyperthermia induced birth defects	HP:0001250	
1	1.0	ORPHA:2515	microcephaly-cardiomyopathy syndrome	HP:0001250	
1	1.0	ORPHA:2524	pontocerebellar hypoplasia type 2	HP:0001250	TSEN2,SEPSECS,TSEN15,TSEN54,TSEN34
1	1.0	ORPHA:661	central hypoventilation syndrome, congenital, 1, with or without Hirschsprung disease	HP:0001250	GDNF,EDN3,PHOX2B,MYO1H,BDNF,LBX1
1	1.0	ORPHA:1171	cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome	HP:0001250	ATP1A3
1	1.0	ORPHA:171863	hereditary spastic paraplegia 42	HP:0001250	SLC33A1
1	1.0	ORPHA:85280	X-linked intellectual disability-cubitus valgus-dysmorphism syndrome	HP:0001250	
1	1.0	ORPHA:512260	congenital cerebellar ataxia due to RNU12 mutation	HP:0002373	RNU12
1	1.0	ORPHA:99688	dermotrichic syndrome	HP:0001250	
1	1.0	ORPHA:261272	chromosome 17q12 duplication syndrome	HP:0001250	
1	1.0	ORPHA:64754	nevus comedonicus syndrome	HP:0001250	NEK9
1	1.0	ORPHA:67048	3-methylglutaconic aciduria type 4	HP:0001250	
1	1.0	ORPHA:1314	symmetrical thalamic calcifications	HP:0001250	
1	1.0	ORPHA:22	succinic semialdehyde dehydrogenase deficiency	HP:0002069	ALDH5A1
1	1.0	ORPHA:297	tick-borne encephalitis	HP:0002197	
1	1.0	ORPHA:99825	Nipah virus disease	HP:0001250	
1	1.0	ORPHA:3385	human African trypanosomiasis	HP:0001250	
1	1.0	ORPHA:79350	PSPH deficiency	HP:0002069	PSPH
1	1.0	ORPHA:85322	X-linked intellectual disability, Pai type	HP:0001250	
1	1.0	ORPHA:939	3-hydroxyisobutyric aciduria	HP:0001250	
1	1.0	ORPHA:85277	X-linked intellectual disability, Cantagrel type	HP:0001250	NEXMIF
1	1.0	ORPHA:83473	megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome	HP:0001250	CCND2,PIK3R2,AKT3
